x,y
45.0,57.5
44.5,50.0
44.0,59.0
33.0,57.5
34.666666666666664,51.666666666666664
41.5,47.5
37.0,50.5
42.0,49.0
34.666666666666664,49.333333333333336
42.666666666666664,52.333333333333336
42.0,60.0
32.0,56.0
40.0,49.666666666666664
15.0,47.0
34.5,50.25
45.0,55.0
36.0,49.0
40.5,63.0
29.0,65.0
32.5,57.0
43.0,53.5
72.0,60.0
34.666666666666664,49.0
45.0,56.5
35.666666666666664,50.0
38.0,71.0
38.4,51.2
43.0,59.5
40.0,51.0
35.0,68.0
43.5,53.5
41.0,46.0
36.2,48.4
42.5,49.0
31.5,57.5
34.5,53.5
40.0,63.0
39.5,46.5
42.0,49.5
43.0,59.0
40.0,46.5
5.0,46.0
41.666666666666664,52.666666666666664
40.0,64.0
44.0,55.5
39.0,64.0
42.5,55.5
33.0,56.0
35.666666666666664,47.333333333333336
26.0,78.0
37.5,49.5
32.5,55.0
43.0,56.0
40.333333333333336,49.0
42.0,53.5
31.0,61.0
41.0,46.0
33.0,51.0
28.0,69.0
37.166666666666664,48.0
29.0,66.0
37.333333333333336,49.666666666666664
27.0,70.0
41.0,47.5
30.0,63.0
33.0,48.0
43.0,50.5
34.0,48.5
36.0,72.0
37.0,48.0
32.0,53.0
39.142857142857146,51.0
31.0,58.5
43.5,56.0
44.0,46.5
34.5,52.5
40.0,90.0
39.5,47.5
42.0,57.5
41.5,50.0
28.0,70.0
42.0,48.0
21.0,61.0
38.0,47.5
39.5,52.0
34.0,52.0
39.666666666666664,52.333333333333336
41.333333333333336,56.666666666666664
42.0,48.5
29.5,66.0
40.5,46.0
41.0,56.0
42.333333333333336,49.333333333333336
34.0,50.333333333333336
37.0,70.0
40.5,47.0
21.0,61.0
42.0,55.5
42.5,49.5
44.0,60.0
31.5,54.0
6.0,74.0
36.0,48.5
45.0,48.0
42.0,59.0
41.0,91.0
37.4,47.6
40.0,56.0
38.0,47.5
42.0,52.0
27.0,74.5
34.5,50.5
75.0,50.0
39.0,47.5
34.0,53.0
42.5,49.5
40.5,60.0
39.0,53.5
31.0,57.0
39.0,46.5
36.5,72.5
32.0,53.0
38.0,47.5
41.0,58.5
34.0,49.75
32.0,56.0
41.5,54.5
32.0,48.0
43.5,57.0
41.0,61.0
38.0,50.5
40.0,47.0
27.5,69.5
38.5,48.5
43.0,56.5
17.0,62.0
41.2,53.2
101.0,36.0
40.5,50.5
31.0,60.0
42.0,55.0
41.5,48.5
43.5,55.5
32.0,48.0
38.333333333333336,63.0
43.0,55.5
41.0,49.0
30.0,51.5
37.0,70.0
40.5,58.0
35.75,49.25
41.0,59.0
41.0,50.0
125.0,81.0
31.5,57.0
32.666666666666664,50.333333333333336
35.0,69.0
31.0,57.5
35.0,49.0
43.0,57.5
33.0,49.0
40.5,54.0
22.0,78.0
30.0,50.0
